"","gridLine","initial_angle","final_angle","mid_angle","line_angle","x","y","speaker","segment"
"1",1,59,122,90.5,59,125.85,48.03,"1","s"
"2",2,59,122,90.5,62.2105263157895,122.17,45.96,"1","sh"
"3",3,59,122,90.5,65.4210526315789,118.38,44.09,"1","s"
"4",4,59,122,90.5,68.6315789473684,114.5,42.45,"1","sh"
"5",5,59,122,90.5,71.8421052631579,110.52,41.02,"1","s"
"6",6,59,122,90.5,75.0526315789474,106.48,39.82,"1","sh"
"7",7,59,122,90.5,78.2631578947368,102.37,38.84,"1","s"
"8",8,59,122,90.5,81.4736842105263,98.21,38.1,"1","sh"
"9",9,59,122,90.5,84.6842105263158,94.02,37.59,"1","s"
"10",10,59,122,90.5,87.8947368421053,89.81,37.32,"1","sh"
"11",11,59,122,90.5,91.1052631578947,85.59,37.28,"1","s"
"12",12,59,122,90.5,94.3157894736842,81.37,37.48,"1","sh"
"13",13,59,122,90.5,97.5263157894737,77.17,37.92,"1","s"
"14",14,59,122,90.5,100.736842105263,73,38.59,"1","sh"
"15",15,59,122,90.5,103.947368421053,68.88,39.49,"1","s"
"16",16,59,122,90.5,107.157894736842,64.81,40.62,"1","sh"
"17",17,59,122,90.5,110.368421052632,60.81,41.98,"1","s"
"18",18,59,122,90.5,113.578947368421,56.9,43.56,"1","sh"
"19",19,59,122,90.5,116.789473684211,53.08,45.35,"1","s"
"20",20,59,122,90.5,120,49.36,47.36,"1","sh"
